frame,t,mode,fps,L_body_x,L_body_y,L_body_z,R_body_x,R_body_y,R_body_z,L_tgt_x,R_tgt_x
740,60.395,single_2d,12.3,0.0733,0.0000,-0.4402,-0.0267,0.0000,-0.4589,-0.0000,-0.0000
741,60.557,single_2d,12.3,0.0715,0.0000,-0.4417,-0.0275,0.0000,-0.4598,-0.0000,-0.0000
742,60.582,single_2d,12.3,0.0702,0.0000,-0.4436,-0.0280,0.0000,-0.4602,-0.0000,-0.0000
743,60.606,single_2d,12.3,0.0687,0.0000,-0.4449,-0.0281,0.0000,-0.4602,-0.0000,-0.0000
744,60.782,single_2d,12.3,0.0667,0.0000,-0.4459,-0.0279,0.0000,-0.4592,-0.0000,-0.0000
745,60.803,single_2d,12.3,0.0647,0.0000,-0.4460,-0.0270,0.0000,-0.4588,-0.0000,-0.0000
746,60.826,single_2d,12.3,0.0633,0.0000,-0.4462,-0.0266,-0.0000,-0.4583,-0.0000,-0.0000
747,60.982,single_2d,12.3,0.0617,0.0000,-0.4466,-0.0260,-0.0000,-0.4577,-0.0000,-0.0000
748,61.004,single_2d,12.3,0.0595,0.0000,-0.4476,-0.0262,0.0000,-0.4568,-0.0000,-0.0000
749,61.051,single_2d,12.3,0.0588,-0.0000,-0.4489,-0.0264,-0.0000,-0.4560,-0.0000,-0.0000
750,61.213,single_2d,12.3,0.0577,-0.0000,-0.4499,-0.0266,-0.0000,-0.4554,-0.0000,-0.0000
751,61.235,single_2d,12.3,0.0578,-0.0000,-0.4503,-0.0268,-0.0000,-0.4546,-0.0000,-0.0000
752,61.258,single_2d,12.3,0.0560,0.0000,-0.4499,-0.0276,-0.0000,-0.4542,-0.0000,-0.0000
753,61.416,single_2d,12.3,0.0547,-0.0000,-0.4496,-0.0284,-0.0000,-0.4541,-0.0000,-0.0000
754,61.440,single_2d,12.3,0.0532,-0.0000,-0.4503,-0.0308,-0.0000,-0.4544,-0.0000,-0.0000
755,61.465,single_2d,12.3,0.0523,-0.0000,-0.4496,-0.0322,-0.0000,-0.4542,-0.0000,-0.0000
756,61.626,single_2d,12.3,0.0524,-0.0000,-0.4495,-0.0330,0.0000,-0.4549,-0.0000,-0.0000
757,61.651,single_2d,12.3,0.0521,0.0000,-0.4500,-0.0338,-0.0000,-0.4553,-0.0000,-0.0000
758,61.678,single_2d,12.3,0.0523,-0.0000,-0.4498,-0.0339,-0.0000,-0.4551,-0.0000,-0.0000
759,61.842,single_2d,12.3,0.0526,-0.0000,-0.4500,-0.0337,-0.0000,-0.4551,-0.0000,-0.0000
760,61.875,single_2d,12.3,0.0538,-0.0000,-0.4502,-0.0333,0.0000,-0.4549,-0.0000,-0.0000
761,61.906,single_2d,12.3,0.0547,-0.0000,-0.4503,-0.0330,0.0000,-0.4547,-0.0000,-0.0000
762,62.059,single_2d,12.3,0.0550,-0.0000,-0.4505,-0.0327,-0.0000,-0.4540,-0.0000,-0.0000
763,62.081,single_2d,12.3,0.0551,0.0000,-0.4504,-0.0328,0.0000,-0.4534,-0.0000,-0.0000
764,62.108,single_2d,12.3,0.0545,0.0000,-0.4500,-0.0330,0.0000,-0.4532,-0.0000,-0.0000
765,62.270,single_2d,12.3,0.0543,0.0000,-0.4497,-0.0328,0.0000,-0.4531,-0.0000,-0.0000
766,62.291,single_2d,12.3,0.0546,0.0000,-0.4493,-0.0323,0.0000,-0.4525,-0.0000,-0.0000
767,62.314,single_2d,12.3,0.0548,0.0000,-0.4490,-0.0319,0.0000,-0.4518,-0.0000,-0.0000
768,62.477,single_2d,12.3,0.0558,0.0000,-0.4495,-0.0311,0.0000,-0.4523,-0.0000,-0.0000
769,62.500,single_2d,12.3,0.0563,0.0000,-0.4499,-0.0304,0.0000,-0.4523,-0.0000,-0.0000
770,62.525,single_2d,12.3,0.0566,0.0000,-0.4503,-0.0299,0.0000,-0.4530,-0.0000,-0.0000
771,62.679,single_2d,12.3,0.0568,0.0000,-0.4508,-0.0294,0.0000,-0.4537,-0.0000,-0.0000
772,62.703,single_2d,12.3,0.0557,0.0000,-0.4515,-0.0294,-0.0000,-0.4558,-0.0000,-0.0000
773,62.728,single_2d,12.3,0.0569,0.0000,-0.4532,-0.0287,-0.0000,-0.4571,-0.0000,-0.0000
774,62.884,single_2d,12.3,0.0582,0.0000,-0.4539,-0.0281,0.0000,-0.4577,-0.0000,-0.0000
775,62.907,single_2d,12.3,0.0573,-0.0000,-0.4540,-0.0284,0.0000,-0.4575,-0.0000,-0.0000
776,62.942,single_2d,12.3,0.0578,0.0000,-0.4548,-0.0285,0.0000,-0.4573,-0.0000,-0.0000
777,63.105,single_2d,12.3,0.0580,0.0000,-0.4549,-0.0284,0.0000,-0.4568,-0.0000,-0.0000
778,63.129,single_2d,12.3,0.0564,0.0000,-0.4547,-0.0287,-0.0000,-0.4563,-0.0000,-0.0000
779,63.153,single_2d,12.4,0.0564,0.0000,-0.4552,-0.0284,-0.0000,-0.4559,-0.0000,-0.0000
780,63.312,single_2d,12.3,0.0563,0.0000,-0.4555,-0.0283,0.0000,-0.4556,-0.0000,-0.0000
781,63.335,single_2d,12.3,0.0566,-0.0000,-0.4558,-0.0281,0.0000,-0.4554,-0.0000,-0.0000
782,63.357,single_2d,12.4,0.0573,0.0000,-0.4560,-0.0280,0.0000,-0.4553,-0.0000,-0.0000
783,63.515,single_2d,12.3,0.0565,-0.0000,-0.4554,-0.0285,-0.0000,-0.4558,-0.0000,-0.0000
784,63.539,single_2d,12.4,0.0560,-0.0000,-0.4548,-0.0292,0.0000,-0.4561,-0.0000,-0.0000
785,63.563,single_2d,12.4,0.0555,0.0000,-0.4544,-0.0297,-0.0000,-0.4563,-0.0000,-0.0000
786,63.720,single_2d,12.4,0.0553,-0.0000,-0.4528,-0.0300,-0.0000,-0.4564,-0.0000,-0.0000
787,63.744,single_2d,12.4,0.0547,-0.0000,-0.4517,-0.0302,-0.0000,-0.4564,-0.0000,-0.0000
788,63.773,single_2d,12.4,0.0545,-0.0000,-0.4515,-0.0304,-0.0000,-0.4569,-0.0000,-0.0000
789,63.939,single_2d,12.4,0.0533,0.0000,-0.4495,-0.0305,-0.0000,-0.4564,-0.0000,-0.0000
790,63.962,single_2d,12.4,0.0532,-0.0000,-0.4483,-0.0303,-0.0000,-0.4567,-0.0000,-0.0000
791,63.987,single_2d,12.4,0.0535,-0.0000,-0.4473,-0.0298,-0.0000,-0.4571,-0.0000,-0.0000
792,64.143,single_2d,12.4,0.0533,0.0000,-0.4464,-0.0295,0.0000,-0.4570,-0.0000,-0.0000
793,64.167,single_2d,12.4,0.0531,-0.0000,-0.4478,-0.0296,-0.0000,-0.4569,-0.0000,-0.0000
794,64.192,single_2d,12.4,0.0534,0.0000,-0.4483,-0.0292,-0.0000,-0.4568,-0.0000,-0.0000
795,64.349,single_2d,12.4,0.0541,0.0000,-0.4492,-0.0285,-0.0000,-0.4569,-0.0000,-0.0000
796,64.374,single_2d,12.4,0.0555,0.0000,-0.4497,-0.0279,0.0000,-0.4573,-0.0000,-0.0000
797,64.400,single_2d,12.4,0.0556,0.0000,-0.4495,-0.0279,0.0000,-0.4574,-0.0000,-0.0000
798,64.561,single_2d,12.4,0.0552,0.0000,-0.4488,-0.0280,0.0000,-0.4568,-0.0000,-0.0000
799,64.583,single_2d,12.4,0.0554,0.0000,-0.4492,-0.0277,0.0000,-0.4564,-0.0000,-0.0000
800,64.608,single_2d,12.4,0.0557,0.0000,-0.4492,-0.0277,-0.0000,-0.4554,-0.0000,-0.0000
801,64.786,single_2d,12.4,0.0559,-0.0000,-0.4485,-0.0279,-0.0000,-0.4548,-0.0000,-0.0000
802,64.807,single_2d,12.4,0.0562,0.0000,-0.4480,-0.0281,0.0000,-0.4541,-0.0000,-0.0000
803,64.830,single_2d,12.4,0.0570,0.0000,-0.4485,-0.0278,0.0000,-0.4541,-0.0000,-0.0000
804,64.988,single_2d,12.4,0.0575,0.0000,-0.4493,-0.0278,-0.0000,-0.4546,-0.0000,-0.0000
805,65.012,single_2d,12.4,0.0577,-0.0000,-0.4497,-0.0277,-0.0000,-0.4547,-0.0000,-0.0000
806,65.053,single_2d,12.4,0.0565,-0.0000,-0.4506,-0.0284,-0.0000,-0.4554,-0.0000,-0.0000
807,65.214,single_2d,12.4,0.0558,-0.0000,-0.4520,-0.0292,-0.0000,-0.4565,-0.0000,-0.0000
808,65.238,single_2d,12.4,0.0552,0.0000,-0.4526,-0.0298,-0.0000,-0.4581,-0.0000,-0.0000
809,65.263,single_2d,12.4,0.0550,0.0000,-0.4536,-0.0305,-0.0000,-0.4594,-0.0000,-0.0000
810,65.417,single_2d,12.4,0.0548,0.0000,-0.4544,-0.0311,0.0000,-0.4610,-0.0000,-0.0000
811,65.441,single_2d,12.4,0.0544,0.0000,-0.4555,-0.0325,0.0000,-0.4619,-0.0000,-0.0000
812,65.468,single_2d,12.4,0.0538,0.0000,-0.4563,-0.0343,0.0000,-0.4626,-0.0000,-0.0000
813,65.628,single_2d,12.4,0.0538,0.0000,-0.4582,-0.0367,-0.0000,-0.4629,-0.0000,-0.0000
814,65.651,single_2d,12.4,0.0539,0.0000,-0.4596,-0.0397,0.0000,-0.4629,-0.0000,-0.0000
815,65.676,single_2d,12.4,0.0542,-0.0000,-0.4610,-0.0436,-0.0000,-0.4636,-0.0000,-0.0000
816,65.840,single_2d,12.4,0.0540,0.0000,-0.4612,-0.0489,0.0000,-0.4633,-0.0000,-0.0000
817,65.862,single_2d,12.4,0.0546,0.0000,-0.4614,-0.0544,0.0000,-0.4606,-0.0000,-0.0000
818,65.886,single_2d,12.4,0.0551,0.0000,-0.4615,-0.0592,-0.0000,-0.4586,-0.0000,-0.0000
819,66.051,single_2d,12.4,0.0554,-0.0000,-0.4614,-0.0638,-0.0000,-0.4568,-0.0000,-0.0000
820,66.074,single_2d,12.4,0.0555,-0.0000,-0.4611,-0.0694,-0.0000,-0.4567,-0.0000,-0.0000
821,66.098,single_2d,12.4,0.0545,0.0000,-0.4612,-0.0760,0.0000,-0.4567,-0.0000,-0.0000
822,66.255,single_2d,12.4,0.0538,0.0000,-0.4612,-0.0821,0.0000,-0.4569,-0.0000,-0.0000
823,66.279,single_2d,12.4,0.0531,-0.0000,-0.4613,-0.0886,0.0000,-0.4573,-0.0000,-0.0000
824,66.302,single_2d,12.4,0.0523,-0.0000,-0.4610,-0.0970,-0.0000,-0.4582,-0.0000,-0.0000
825,66.464,single_2d,12.4,0.0509,-0.0000,-0.4600,-0.1048,-0.0000,-0.4585,-0.0000,-0.0000
826,66.486,single_2d,12.4,0.0515,0.0000,-0.4596,-0.1123,0.0000,-0.4582,-0.0000,-0.0000
827,66.509,single_2d,12.4,0.0516,-0.0000,-0.4583,-0.1197,0.0000,-0.4574,-0.0000,-0.0000
828,66.677,single_2d,12.4,0.0519,0.0000,-0.4573,-0.1277,0.0000,-0.4567,-0.0000,-0.0000
829,66.713,single_2d,12.4,0.0497,-0.0000,-0.4568,-0.1353,0.0000,-0.4562,-0.0000,-0.0000
830,66.739,single_2d,12.5,0.0476,-0.0000,-0.4563,-0.1429,-0.0000,-0.4547,-0.0000,-0.0000
831,66.891,single_2d,12.4,0.0457,-0.0000,-0.4555,-0.1497,0.0000,-0.4532,-0.0000,-0.0000
832,66.916,single_2d,12.4,0.0450,0.0000,-0.4553,-0.1567,0.0000,-0.4517,-0.0000,-0.0000
833,66.941,single_2d,12.5,0.0444,0.0000,-0.4552,-0.1647,0.0000,-0.4497,-0.0000,-0.0000
